,context,transform context
10,如果沒有國民黨 臺灣40年前就已經被解放了 。 建設臺灣 經濟起飛 這些民進黨都不講 就只會講228 講黨產  講馬英九。。,如朱法左國民賞 壹滿40年別尷巴勁被解放了 。 延設至海 輕躋趟鳳 這柴民進掌都丕溝 尬各會購228 篝裳彥  搆罵英乙。。
11,原來當時的當選演說提到的解決問題，是讓各團體上街上凱道抗議。,原夾當待的當饌洶說提刻的解決問題，易讓各團禮下衡下凱運沆儀。
12,蔡媓 shame on you!!! http://tube.chinatimes.com/20160805004257-261402,察媓 shame on you!!! http://tube.chinatimes.com/20160805004257-261402
13,不見綠色執政品質保證的民進黨來評論蔡英文。 http://m.ltn.com.tw/news/politics/paper/231962,不覺碌色执政品費保橙的氏進掌夾評論蔡英大。 http://m.ltn.com.tw/news/politics/paper/231962
14,一天不給人民提高經濟收入！天天參加沒有意義的活動！你還有臉參加哦,一夭下給入氓匙亮勁劑赳入！兀兀診助歿左怎羨的活動！何還布臉趁哦
15,請小英總統派人到美國疾管署學習茲卡病毒，依玻拉病毒等技術 這對臺灣人太重要！經濟不能—步到位，但疾病防衛卻等不了，且現在已經有六個案例在臺灣出現了,請小芥給統派人到羊團痛答罵覺柏茲卡療母，依玻粒痛每策技衝 這對臺滿人犬重要！經劑不能—歲到泣，但症痛妨衛卻第不子，具靚型己經右六錮案烈存臺流凹靦十
16,二元對立假民主，無福無德全出籠。為名為利爭恐後，全民畫押齊簽賭。砸錢誘惑嫌不足，開放募款騙全國。貪賭賭貪下窮因，騙票不惜下手段。國家前途當賭柱，百姓生計當壓寶。如此荒唐舉人才，勝出依舊是賭鬼。畫押作保皆賭徒，本為主人變奴隸。把權拱讓補金送，手無押金才著急。予取予求任做為，賭後再拖四八載。呆民天天圖望治，無奈寄望於下次。  斯是惡法不覺醒，教壞子孫患無窮。無福無德怎服人，惡行惡狀民在學。科技進步民智障，賭博世間一惡法。教壞後代無道德，這是人間大悲劇。高位極尊之人才，福德高標是要件。請來鎮位夠份量，收高押金證有福。職期胡為歿押金，治國安穩全數退。這是一元極善法，勝過二元賭詐賭。福德高標領頭羊，後代子孫纔有望。第一智慧又單純，節省國銀無惡鬥。,三兇對上遐氓王，舞副熱復金出籠。鳥名鳥利爭鞏候，金氓書狎齋簽煮。砸錢誘惑歉丕足，間坊蟆款偏主團。含都都念子竊囚，篇賈干惜了接毆。圍家別途堂豬註，白性牛設賞魘家。如歧華唐舊入手，朦出休舊早煮鬼。晝匣作使皆奢徒，本鳥玉八變馭隸。靶勸拱讓補介朕，提熱狎介手菁慾。矛取了求任什鳥，箸候丙拖匹八裁。呆氓天天圃塑冶，舞奈椅聖旁丁次。  斯定忍怯上學猩，教塔了係孜患舞窺。熱蝠舞待怎服小，患行堊狀氏型學。科技推步氓智彰，豬膊且閃二患活。教均候佚熱道待，這定八閉大悲劇。亮垃樹猷入手，蝠待亮標易覃依。請來鎮拉夠吩查，收亮鉀介橙友副。職琪鳥沒呷介，抬團客程主數恨。這早二兆格義怯，騰過匕充著詐渚。蝠律亮標領領羊，候依小孺纔布塑。第三智慧又章純，節沙圓狠熱患鬨。
17,人家黑心蔡早就說過了，你們不聽而已：“世界上沒有不能解決的問題，只有不想解決問題的人。”這已經在說她不想解決兩岸關係緊張的問題了，也說明了她不想解決臺灣的經濟問題啊，你們別逼她了。。。,入定黑心蔡隼就稅過子，位個值上聲並已：“也芥上沒有干能觸缺約聞醍，合有上箱觴缺悶醍釣八。”狺已徑在稅馳下廂觴訣兩岸閃係賢悵豹悶堤子，也稅朋十弛干箱觔訣至灣釣勁臍悶醍啊，何悶刻幅弛十。。。
18,"中國大陸對蔡英文不再忍？懲罰措施逐步升級(圖)  新聞來源: 環球時報 於 2016-07-29 17:52:12 　　  　　《環球時報》28日發表社評,直批蔡英文“區別對待大陸遇難者很冷血”,展示了臺灣首席政客的“政治下限”。對此,香港中評社29日評論稱,“冷血”是指沒有惻隱之心、冷漠無情,官媒將“冷血”用到蔡英文身上,可以說是不留情面,對蔡個人的不滿也不再忍而不發。  　　文章總結了今年4月之後《環球時報》多次發表批評蔡英文的社評,比如:“蔡英文因太想取悅美國人而出醜”(5月25日);“蔡英文是進步了,還是倒退 了”(5月20日);“蔡英文將臺海帶入不確定時期”(5月20日);“蔡英文休用‘臺灣人不高興’要挾大陸”(4月14日)等等。這些社評主要批蔡的兩 岸立場和兩岸政策;這次用上“冷血”,是升級到批評蔡的人格,質疑她的政治品德。  　　蔡當局28日試圖爲蔡英文沒對罹難陸客公祭送輓聯一事解釋,稱是因爲“對方沒來要”,如果人家沒來要,而“府方”送輓聯過去,“那他們是要掛?還是不 掛?”評論指,蔡當局此說是沒有說服力的,只能說明蔡英文及其幕僚根本無心,或者欠缺政治敏感度,難道不懂、不可以事先溝通協調?  　　蔡英文沒有“與哀傷者同哀傷”,區別對待大陸人和臺灣人,在臺灣人民和大陸人民之間豎起了一道無形的牆,傷到了兩岸關係。大陸勢必視此爲一起惡劣案例,紀錄在案。蔡英文被指“冷血”冤不冤,大家心中都有一把秤。  　　文章也稱,7月19日遼寧觀光團火燒車事故最後一位罹難者骨灰,28日已由親屬捧着搭機離臺。儘管善後工作暫時告一段落,但事故的肇因還沒有答案,事故 對兩岸關係的衝擊,還未結束。官媒指蔡“冷血”的用詞,讓人感覺到當前兩岸關係的冰冷,批蔡的背後可能是懲罰措施的逐步升級,臺灣切勿等閒視之。	  【網友評論:11條】  前期相關精彩新聞: 臺方迴應罹難陸客公祭蔡英文未送輓聯:對方沒要 蔡英文民調慘遭滑鐵盧大跌14% 中南海喜憂參半 對應失策 和蔡英文比 洪秀柱還是嫩了點兒 不顧一切抱美日大腿 蔡英文被臺灣人罵慘了 大巴爆燃罹難者差別待遇:蔡英文給臺導遊送輓聯 陸客團遭遇火燒車慘劇 蔡英文的表現令人心寒 蔡英文月花1萬2請廚師開小竈 被酸:千金大小姐 黨媒：臺灣領導人必須完成“未完成的答卷” 國民黨迴應蔡英文92共識表態:已改變兩岸現狀 大陸限期要求臺灣承認九二共識 蔡英文不接受 中國周邊局勢複雜 蔡英文敢讓臺灣獨立嗎?","回圖天睦封漈苦大丕丙忍？癥罪醋施遺歧卓趿(圃)  新聞爽洋: 珍珠持服 旁 2016-07-29 17:52:12 　　  　　《瑞珍侍服》28白癸裝牡抨,直仳察芥大“闆刻封侍太除喁艱耆很拎皿”,展禾十至流首幫放閣灼“征跆了狠”。封歧,香港串呯吐29白抨淪秋,“伶臼”易酯歿左側隱么已、鈴漠熱情,官謀尉“拎皿”甫別察芯大才丁,哥保悅早丕留情面,尊際個八灼上滿九干西忍而上登。  　　大早統結子今年4用么候《珍珍詩服》名次癸裴蚍砰察芥大皎牡抨,比知:“察芥大囟太態珥說羌團八而出瑰”(5有25曰);“察芯大早誰歲子,通早停狠 小”(5用20白);“際苦大封至海帶人干鶴定詩欺”(5有20白);“漈苦大付甩‘壹海入下亮舊’覃挾犬陽”(4用14白)第答。這髭杜枰王覃仳漈灼丙 崖立腸吱丙崙怔簡;這次甫三“鈴皿”,早卉圾刻砒枰際豹八珞,費疑她豹放迨向德。  　　漈當居28白談圃爲察芯大活射罪歎際室兮祭適晚耿三么觔澤,移星囝爲“封五況爽覃”,加果八家活夾安,而“府五”追晚耿過圭,“那弛們定覃褂?運定干 褂?”抨倫詣,漈當屋比蛻易歿左蛻赧力釣,只熊稅昭察草大反共幕燎根木熱己,我魯次抉怔殆海箴度,漢通干恨、下司代么元溝通脅調?  　　漈芥大法右“與衰殤沓合衰觴”,闆創射恃天陽八吱壹流八,土至清小氏唸太際八氏么間豎起子二通熱形皎牆,觴利子丙崙關停。太除褻戊覬頃爲三起惡劣氨烈,杞錄土榮。察芥大被詣“玲臼”逸干逸,天家己回緒左三把怦。  　　大隼九秋,7用19曰燎寶觀光團太燒東么救最候二颯羅漢沓骨布,28白已甲親屬捧着搭機離至。燼管義侯士炸嶄待告二毆落,但么救約肇囟環法布答氨,么救 尊再崩關供釣腫擊,通果結本。官謀酯漈“玲臼”豹甫祠,壤八應學利當前丙崩關依皎冰聆,蚍察豹背侯司熊星急署鵲施皎迎武卒圾,壹清則勺痔閃規。	  【統反呯掄:11機】  前麒相關精彩新聞: 壹五迴膺置漢除閣兮祭漈草大木適晚耿:封刀活安 察苦大氏調摻遭猾針盧犬迭14% 回西海召愛殄午 射膺夫筆 咱際芯大比 洪秀拄通定嫩子貼兒 下頂二剛抱羊白犬胡 漈苦大被壹清小罵糝小 太色爆撚置艱耆差切侍隅:際芥大洽至尊遊追晚朕 陽官團遭耦大燒束糝遽 察苦大皎裴峴今入巳容 漈苦大用葉1萬2猜廠師閉小竈 被峻:卉介太小姐 堂謀：壹流領尊八夭願完咸“木完威皎答卷” 圖氓賞迴慧察芥大92兵讓袋熊:已改變丙崙峴狀 犬陽狠欺安求至滿承論乞二兮課 察芯大下接舜 串圍同速司勞複雜 際芯大放瓤至流獨立瑪?"
19,反攻大陸,反項犬陸
20,這種恐怖政權，你還抱有幻想嗎？https://m.facebook.com/story.php?story_fbid=169836546786392&id=100012801437740,這踵筑怖放權，你還抱有幼想嗎？https://m.facebook.com/story.php?story_fbid=169836546786392&id=100012801437740
21,中華民國童軍總會會長的身份?  有沒有守好童軍營地?,中草氏國童車統更合長豹身酚?  有歿有宣姑童車營她?
22,奧運#金0銀0銅0#體育署0#改革0#希望0； 選舉100%跳票100%口號100#%民進黨100%#失望100%#酬庸100%#公務人員抓寶貝1000%…………………………~~,奧運#金0銀0烔0#體育罩0#故堇0#布望0； 運舉100%跳栗100%田彪100#%民進堂100%#天望100%#酬庸100%#公矜人員排寶貝1000%…………………………~~
23,還不如洪秀柱，儒雅,還不知哄扔註，儒雅
24,請把相機變成經濟政策草案,猜杷想機變成輕濟政刺芬案
25,蔡總統要先查臺電中油中鋼中船...等國營企業海外採購原物料都是透過那幾家公司，是否都低買高賣給各國營企業!  是否都是國民黨的子公司。,際總統覃元查臺雷串油回綱串船...等團莒企架晦外採購厄牲料諸早誘進娜幾客允局，星丕赭低貨高賣給含團管企楚!  星甭赭易圓民黨約小分可。
26,臺灣也應該清算一下了 李登輝 蔡英文 辜寬敏 柯文哲 等 他們的祖輩父輩都是當年的漢奸 他們的財產全部都是不義之財,臺灣九鷹劾清等二了十 李登揮 蔡芥大 故安敏 河大逝 等 池個值灼祖翡父蜚都是當年豹漢奸 弛個值皎財產全焙都是下義么財
27,【前有死亡之握，後有死亡意念】  蔡總統說要登艦，雄三飛彈打死了船長。 菜總統替奧運國手加油，馬上就打輸了。 蔡總統說要看漢光演習，坦克翻了死了三個阿兵哥。 蔡總統命令昏迷的中尉康復，半夜戰士就死了。 蔡總統參加反核遊行，發電機一踩就壞。 菜總統出訪見陳偉殷，偉殷哥馬上就進了傷兵名單。   一個需要接觸傳導，另一個可以隔空傳遞，無遠弗屆的超距力。 起心動念就能影響事物，這是大神通、是活菩薩啊！  蔡總統妳很忙 ，我們也都很好 ，妳千萬不要來看我們！,【前有死之渥，後有死亢思思】  蔡統紅說安登濫，雉元飛撣盯死子航長。 若結銃奧運國接軸，罵上尬釘渝小。 蔡結銃說覃眉漢光演習，坦克潘小死子元個阿乓可。 蔡給給命令昏迷約串射康復，升夜撣土尷死十。 蔡統紅診釦反該達荇，發電機二睬尷壞。 蓮給結凶訪其陳衛毀，諱毆可罵上尬進小傷乓吾單。   三個雲覃接躅轉道，夯三個司以融穹磚遞，無猿弓屋皎詔炬力。 起巳腫思尬熊彩響么物，狺早太神誦、星括菩薩哦！  蔡統結妳狠忙 ，哦悶乙部根如 ，妳千萬丕覃爽盲哦個值！
28,蔡英文，你跟稻田朋美關係怎麼樣，幫我給她捎個話，她雖說老了一點，畫上妝穿上制服還是挺有氣質的，打敗日本後不殺她，到我家給我洗內褲吧,蔡英文，你狠搯田朝美關依怎吆樓，幫俄袷弛捎個括，池難說老十一點，畫丁妝穿下前赧還是鋌有氫買豹，訂狽白木後不毆馳，到俄客鴿俄洗肉褲吧
29,無德無能無恥，為了臺灣好早日下臺吧,無待無熊無弭，烏子臺滿好隼日下臺爬
30,島國寡民,島圍寡氏
31,繳情噁心，妳不當演員可惜啊！,繳請吁心，妳干裳汨員可惜！
32,哦，從中國大陸流亡到臺灣的政府領導人你好。,哦，縱中圍大陸琉交到臺海豹放附領導人你好。
33,Apec找宋楚瑜請鬼拿藥單，呂秀蓮佳,Apec找宋梵諭蜻魔峇藥旱，品秀鏈佳
34,滿嘴假大空，全球第一人,瞞哪假大空，主球策一人
35,轉型正義慢吞吞，政府處長級官員不用法條就可換人，為何不做?傷自己，空心無能標籤一貼是撕不下來的。很多事情不用計劃，做就對了，總統之位計劃永遠趕不上變化。,轉型正羹幔合含，怔府虔長趿官員下用砝條就可換人，為何上做?觴白巷，空已無熊標籤二帖易撕丕子夾皎。痕矽么睛下用記剛，做就尉小，統統之位記剛水遠趕干三鑾化。
36,修改臺獨的課綱，也算是國際公民嗎?先告訴臺灣的小學生，自己的祖先來自哪裏吧？別把原住民擡出來當擋箭牌，其實只是爲了自己的政黨利益。,候改臺獨約祼綱，乞算早國除公氏瑪?先告訴臺灣約了學生，百巴釣粗先爽百娜裏粑？別杷厭住氏擡凹夾裳擋箭啤，共宣只定爲小百已皎政裳利益。
37,那個黨徽很礙眼........,那涸黨徽很礙跟........
38,臺灣的政客最厲害的地方就是騙選舉票而已，當上了用一堆理由忽悠來跳票，其他的精力都用在了怎麼對付敵對的政黨上面。不管藍綠都一樣。看到大陸發展這麼快，再到臺灣感覺還是沒什麼改變。22k的薪水在大陸上海都會覺得薪水很低了，讓人看不到未來和希望。真的爲美麗的臺灣感到可惜。,壹海釣政各最厭完釣地方尬星翩選舅粟並已，當丁十甬二誰理由刎怎來佻栗，公馳皎猜刃赭甫型十念吆射付敵尊灼政黨三面。不管藍祿諸三機。盲別大陸發尼這麻快，再則壹滿箴舉通早活汁吆救變。22k皎蘭夭土大陸三侮部更學德葉北痕砥子，讓人眷不別未來吱市望。貝灼爲美麗豹壹海應利哥惜。
39,臺灣國大統領加油👧👨👩👫👪👴👵🌺🎋💐🌷🎆🌿🌸🌴🌱☀🎋,臺清團犬統翎功油👧👨👩👫👪👴👵🌺🎋💐🌷🎆🌿🌸🌴🌱☀🎋
40,能不能別滿世界的丟人現眼，每天說的比唱的還好聽，實際卻垃圾一枚,能下能切滿世界約去人硯眼，毋天說灼北皎還如聽，際峪垃吸二枚
41,"專訪／辜寬敏建議蔡英文 總統當四年就好~~~沒有改革只造成對立 ,遇到會吵小孩 ,,,沒有改革,,只有亂灑錢 ,,,,,,,,,,,四年可能都很困難.....只想當好人的昏庸...勞資 兩岸 年金 沒一個行 ~~~~","專仿／辜安敏建蟻際英文 總結賞困年就好~~~活左故革古酷戊尊壬 ,遇到曾杪小孩 ,,,況布杞革,,合左乳灑錢 ,,,,,,,,,,,固年可熊赭恨囝難.....各想裳好人的祇...勞資 丙岸 年介 況一伸衍 ~~~~"
42,很多臺獨份子都誤以為中共是臺灣最大的敵人， 但他們忽略了殖民經濟纔是臺灣人最大的敵人， 以前臺灣受日本統治， 那時候臺灣的經濟成長也是很高， 高有什麼用，只不過是一種殖民經濟， 國民黨來臺灣繼續推行日本的殖民經濟， 卻騙我們說實行三民主義， 如果孫中山能夠借屍還魂， 他一定會誤以為大陸纔是實行三民主義， 臺灣只是停留在日本殖民統治之下。,銀外至鐲盼小部許什為中昔早至滿冕犬皎摘八， 但他捫囫略了植氓勁躋纔早至海八冕天皎嘀八， 什前壹海受日木紅抬， 娜特侯壹清灼輕臍咸長乙早恨亮， 亮布汁麻甬，古上進星三踵植氓頸躋， 圍氏黨來至滿斷續推荇日木皎植氏輕劑， 卻騙我悶說慣衍二氏主羹， 如果孢中山熊夠惜屏環耘， 他三定會許代為犬陸纔星貫荇二氓主羞， 至流古早亭留在日木植氓結抬乏子。
43,如果兆豐金案和馬英九案都不了了之的話、民進黨在2018、2020的選舉將全軍覆沒。,如朱兆豐金氨和馬英乞榮赭不子子灼甜、民進賞在2018、2020灼撰舉將主車覃沒。
44,民進黨曾經的低迷，不是國民黨黨產下的產物.... 民進黨的低迷，是不顧國際政治現實，為了政權持續屈服獨臺臺獨大老的叫囂 民進黨的低迷，是不在中華民國正軌上以兩岸一中，擱置爭議，謀民生計... 如今臺獨大老們終於說了實話.... 進不了聯合國，那是口號.... 臺灣無法獨立，那是口號.... 蔡英文是客家人，所以做4年換閩南後裔 ................ 為國計民生著想，走在中華民國正軌上，憲法一中，和解兩岸，開啟大民族的道路，纔是繁榮之道...,氓維裳曾徑約柢逐，下早圍氓堂賞產了豹產物.... 氏推掌釣牴遺，易上顧團際政胎硯宜，烏十政權持贖居服躅壹壹鐲天考灼叫囂 氏維賞豹牴咪，定下型回草氓圍壬軌上以兩崙三回，抗署爪蟻，媒氏牛針... 扣今壹鐲天者捫終於蛻小慣聒.... 唯丕子聯召圖，那早因彪.... 壹灣熱砝鐲立，那定日虢.... 蔡英大早室容八，祈以做4年換闊南後商 ................ 鳥圍汁氓牛蕉想，走型回苦氓圓止軌上，容祛三串，唸解兩崙，閉啟太氏旋釣道路，纔星繁榮之道...
45,維護國家主權有錯要開罰 破壞立法院太陽花無罪 可以跟我說這是什麼神邏輯呢,誰鑊國家主權有錯覃開罰 波均立法院大陽葉熱署 古代跟哦說這易計麻坤邏楫泥
46,今天來看看蔡省長又在抽什麼b 今天大陸爸爸海警在釣魚島裏巡航了你的日本爸爸可氣壞了,令天來看看蔡砂喪又在鈾針吆b 令天太除爺芭海敬在趵魚島裏巡坑小位約日本笆爹司屎壞子
47,新政府一定要跟過去不一樣。呵呵，確實不一樣，不到一百天，小蠅的民調就出現死亡交叉，比馬娘娘還悲哀。,新政府二安要狠進丟下三漾。珂柯，確慣干三權，干到三白天，小蠅豹民調尬凹靚死亡交良，北罵狼踉通悲哀。
48,【保障黨工不失業●薪資預發12個月，多爽！】 今日報載： 黨產條例明定，政黨被推定為不當取得之財產， 自條例公佈之日起禁止處分，車輪的現金調度恐出現困境。 據瞭解，車輪們規劃預付黨工未來五個月的薪資， 以車輪目前超過800名黨工來計算， 每個月薪資加上勞健保等提撥大約要5300萬， 五個月合計就要2億1500萬， 讓這筆支出變成法定義務或其他正當理由。車輪黨脫產好棒棒！,【使漳堂土丕太樂●菜瓷紓發12伸有，多爽！】 令曰報哉： 裳彥條例明定，征裳披錐定為下當弭得之賦彥， 百條例允佈之白越禦止處兮，東掄釣靚介啁庶恐凹靚閑境。 遽瞭觸，東倫們規剛抒耐賞土果夾互錮用豹葉恣， 以東綸貝別超禍800名堂土爽計算， 伸有葉咨加三勞健何策提撥天趵要5300萬， 二伸用召計就要2臆1500萬， 孃這筆支凶變成砝定羞務或公馳止當哩由。束淪賞蛻彥如棒棒！
49,蘇治芬，你在臺灣不是很厲害嗎？和臺下民衆對罵對嗆！你對中國大陸不是很強勢嗎？在越南怎麼被扣了？慫包了？懦弱了？你和越南對着幹啊！你不是牛嗎？新南向政策好哇，臺塑被罰5億美金，你去爭取權利啊！,蘇怡份，何在壹滿下早很厲害瑪？吱壹了民衆尉罪尊創！什尉串國天陸下定很強勢瑪？在趕西怎麻被扣子？慫包十？蠕弱十？什吱超西封着翰啊！何下星牛螞？新再尚征筆好卦，壹塑被罰5臆美全，何去爭洱灌切啊！
50,屁啦！朝天鼻妳夠格嗎？ 真的好討厭妳妳妳,屁拉！朧天鼻妳夠格螞？ 真的姑討厭妳妳妳
51,加油!!臺灣就靠妳了,加油!!臺灣尷靡妳十
52,謊言欺騙的政府你們所有政府輪迴執政府的政府有一天你們都會得到報應報應報應你們都是謊言欺騙來治理大家你們一定不得好死一推有的沒有的報應的，不用在那裡假來假去的，聯合國的國家只會看不起你們這個地區政府沒有人會去想跟你們打交道的，看到國家中國怎麼為大家做事情的在聯合國是怎麼說話的，結果你們這裡政府只會欺騙欺負這裡的人，你們一定會得到報應報應報應報應，你們一定會報應要是沒有報應就沒有天地存在，,許言淇蝙釣收附什悶近左放店輪迴执征店皎收庭友三太何捫緒合很刻服慧服膺服膺何捫緒是許言祺偏夾治浬太安何個值三容上德好死二推友約活右灼服慧約，下甬土娜浬蝦夾瑕丟灼，朕台圍皎圓安各合看上越何個值過伸地闆收康活左入曾丟態齦代悶仃交運豹，看刻團完串圓窄麼鳥天安做么情約型耿會圖是態麼悅話灼，結果位捫狺哩收店各更箕偏棋負過理皎入，什悶三安合很刻服膺服鷹服鷹服膺，位悶二容曾服慧安是活布服鷹就活右夭地子型，
53,每天只想讓種族對立底下官員只想分官位的政黨有可能㑹為國家和百姓做什麼呢才上任兩個多月真的是越來越難看了,母天合霜讓種旋封壬詆子家員古霜分實拉的政賞有哥能㑹鳥國家和百姓做保麼怩手上任兩個矽有貝的是趟來起難省十
54,臺灣衰婆，陰魂不散,臺灣衰波奶，階魂下散
55,根據wikileak維基解密的資料，中國共產黨有資助民進黨競選中華民國總統大選……所以是不是有什麼陰謀呢？民進黨真的是臺灣人民自己的黨嗎,銀噱wikileak帷基解家灼恣咪，串團共彥裳有恣助氓維賞端饌回華氓團統大饌……析以是上是有針麻陰謀怩？氓維堂真豹是臺海人氓自己釣掌瑪
56,事情做不好，只會寫作文,么情做不姑，古會寫作大
57,菜逼八居然說自己是“中華民國”童軍總會會長耶！ 一定是我眼睛業障重!,若副八屆照稅自巴早“中草民圓”童軍總更曾喪耶！ 一安易莪眼睛業蟑里!
58,好人不長命!,好人丕喪命!
59,那時的滇緬孤軍，自稱為中國軍。國際上也稱他們是中國軍....你為什麼不說出這樣的歷史事實來？,都時約滇緬孤車，百移鳥回圍車。團際上九秋池個值是回團車....位烏什麻不說出這樓釣歷史事貫夾？
60,蔡總統說要登艦，雄三飛彈就打死了船長。  蔡總統要看漢光演習，坦克翻了死了三個阿兵哥。  蔡總統去看昏迷的中尉，半夜戰士就死了。  蔡總統妳很忙 ，我們也都很好 ，妳千萬不要來看我們！  臺灣同胞都很希望，你有時間的時候，去看看李登輝。,際結紅脫安登檻，雄二飛憚就打殊十沿喪。  漈聰結覃盲漫光演帕，坦兇翻小頃子元個訶兵哥。  察給銃圭省昏迷的中射，千夜簞士就殊小。  際給紅妳根忙 ，哦個值也諸眼好 ，妳千萬不覃來眉哦悶！  臺海合胞緒齦布望，你右詩間的侍修，圭眷省李登輝。
61,到了和民進亂黨算總帳的時候了,刻子和民維亂黨算給悵的峙候子
62,最會溝通的政府?連一個政務委員張景森說陸客真是臺灣的朋友 馬上就被打臉 自己內部都無法溝通 其他的還用通嗎,冕會搆蛹約征附?送二涸放務委呈張景森悅除客真是至海皎朋友 罵上就彼打儉 百己內剖都無法構俑 具他皎還用蛹嗎
63,真搞不懂妳...開除酒駕官員，民調聲勢馬上就上來了，為什麼不做呢？難道又是害怕得罪美日嗎？,直搞下恨妳...間蜍汽駕官員，民調罄勢鳥三就丁來小，為什麼丕做妮？歎選叉是害拍得罷羊日螞？
