,context,transform context
10,如果沒有國民黨 臺灣40年前就已經被解放了 。 建設臺灣 經濟起飛 這些民進黨都不講 就只會講228 講黨產  講馬英九。。,如果沒有國民擋 台豌40拈潛柩已經被解放了 。 澗設苔蜿 經濟啟緋 浙些民進檔都不槳 舅趾會蔣228 蔣檔闡  槳馬英久。。
11,原來當時的當選演說提到的解決問題，是讓各團體上街上凱道抗議。,原徠當時的當選眼說蹄蹈的解決文蹄，是讓各團體上街上凱稻亢議。
12,蔡媓 shame on you!!! http://tube.chinatimes.com/20160805004257-261402,蔡媓 shame on you!!! http://tube.chinatimes.com/20160805004257-261402
13,不見綠色執政品質保證的民進黨來評論蔡英文。 http://m.ltn.com.tw/news/politics/paper/231962,不鍵率色執掙品質葆政的民浸黨來評論菜纓文。 http://m.ltn.com.tw/news/politics/paper/231962
14,一天不給人民提高經濟收入！天天參加沒有意義的活動！你還有臉參加哦,醫添不給壬民提高鯨濟收入！添添參家沒有翌義的活恫！你還有臉參家哦
15,請小英總統派人到美國疾管署學習茲卡病毒，依玻拉病毒等技術 這對臺灣人太重要！經濟不能—步到位，但疾病防衛卻等不了，且現在已經有六個案例在臺灣出現了,請曉纓總統派仁稻美國及莞署褶息茲卡並犢，依玻啦併頓等際漱 蔗敦檯蜿仁太重要！旌濟不能—步悼位，旦嫉並房蝟怯等不了，且憲再已精有六個案曆再跆彎齣餡了
16,二元對立假民主，無福無德全出籠。為名為利爭恐後，全民畫押齊簽賭。砸錢誘惑嫌不足，開放募款騙全國。貪賭賭貪下窮因，騙票不惜下手段。國家前途當賭柱，百姓生計當壓寶。如此荒唐舉人才，勝出依舊是賭鬼。畫押作保皆賭徒，本為主人變奴隸。把權拱讓補金送，手無押金才著急。予取予求任做為，賭後再拖四八載。呆民天天圖望治，無奈寄望於下次。  斯是惡法不覺醒，教壞子孫患無窮。無福無德怎服人，惡行惡狀民在學。科技進步民智障，賭博世間一惡法。教壞後代無道德，這是人間大悲劇。高位極尊之人才，福德高標是要件。請來鎮位夠份量，收高押金證有福。職期胡為歿押金，治國安穩全數退。這是一元極善法，勝過二元賭詐賭。福德高標領頭羊，後代子孫纔有望。第一智慧又單純，節省國銀無惡鬥。,二緣對立假民煮，無氟無得拳初籠。為冥為厲爭恐候，卷民話呀齊簽睹。雜虔幼霍啣不足，揩放慕款片卷幗。坍睹睹癱夏瓊因，片驃不惜廈手斷。摑家前途當堵柱，百姓生計當壓保。如此慌唐袓人裁，勝齣醫救適堵鬼。華丫作褓階堵徒，本為矚人辨奴隸。把痊拱讓卜斤送，手無呀觔財著急。予取予仇任做為，篤候載拖四吧載。呆民添添塗忘治，無奈妓王於嚇次。  斯市惡法不覺擤，教壞子孫患無瓊。無佛無得怎服人，惡行惡狀民載褶。科技噤步民致杖，堵渤世間衣惡法。教壞候代無悼得，蔗逝人間大悲劇。膏蔚岌尊之人材，服得糕標飾要漸。請萊枕蝟夠份量，收羔椏觔政有匐。職期胡為脈丫津，治摑鵪穩荃數蛻。蔗誓伊園輯繕法，勝過二員篤柵睹。幅得篙標領頭羊，逅代子孫纔有旺。遞揖識薈鈾單脣，袷省摑銀無惡逗。
17,人家黑心蔡早就說過了，你們不聽而已：“世界上沒有不能解決的問題，只有不想解決問題的人。”這已經在說她不想解決兩岸關係緊張的問題了，也說明了她不想解決臺灣的經濟問題啊，你們別逼她了。。。,人家嘿心蔡早就說過了，擬們不聽兒已：“逝界上沒有不能解倔的文醍，酯有不響解譎紊堤的人。”這已經在說牠不餉解蹶兩岸關係瑾樟的汶啼了，也說名了塌不享解爵檯灣的經濟文啼啊，擬們別逼它了。。。
18,"中國大陸對蔡英文不再忍？懲罰措施逐步升級(圖)  新聞來源: 環球時報 於 2016-07-29 17:52:12 　　  　　《環球時報》28日發表社評,直批蔡英文“區別對待大陸遇難者很冷血”,展示了臺灣首席政客的“政治下限”。對此,香港中評社29日評論稱,“冷血”是指沒有惻隱之心、冷漠無情,官媒將“冷血”用到蔡英文身上,可以說是不留情面,對蔡個人的不滿也不再忍而不發。  　　文章總結了今年4月之後《環球時報》多次發表批評蔡英文的社評,比如:“蔡英文因太想取悅美國人而出醜”(5月25日);“蔡英文是進步了,還是倒退 了”(5月20日);“蔡英文將臺海帶入不確定時期”(5月20日);“蔡英文休用‘臺灣人不高興’要挾大陸”(4月14日)等等。這些社評主要批蔡的兩 岸立場和兩岸政策;這次用上“冷血”,是升級到批評蔡的人格,質疑她的政治品德。  　　蔡當局28日試圖爲蔡英文沒對罹難陸客公祭送輓聯一事解釋,稱是因爲“對方沒來要”,如果人家沒來要,而“府方”送輓聯過去,“那他們是要掛?還是不 掛?”評論指,蔡當局此說是沒有說服力的,只能說明蔡英文及其幕僚根本無心,或者欠缺政治敏感度,難道不懂、不可以事先溝通協調?  　　蔡英文沒有“與哀傷者同哀傷”,區別對待大陸人和臺灣人,在臺灣人民和大陸人民之間豎起了一道無形的牆,傷到了兩岸關係。大陸勢必視此爲一起惡劣案例,紀錄在案。蔡英文被指“冷血”冤不冤,大家心中都有一把秤。  　　文章也稱,7月19日遼寧觀光團火燒車事故最後一位罹難者骨灰,28日已由親屬捧着搭機離臺。儘管善後工作暫時告一段落,但事故的肇因還沒有答案,事故 對兩岸關係的衝擊,還未結束。官媒指蔡“冷血”的用詞,讓人感覺到當前兩岸關係的冰冷,批蔡的背後可能是懲罰措施的逐步升級,臺灣切勿等閒視之。	  【網友評論:11條】  前期相關精彩新聞: 臺方迴應罹難陸客公祭蔡英文未送輓聯:對方沒要 蔡英文民調慘遭滑鐵盧大跌14% 中南海喜憂參半 對應失策 和蔡英文比 洪秀柱還是嫩了點兒 不顧一切抱美日大腿 蔡英文被臺灣人罵慘了 大巴爆燃罹難者差別待遇:蔡英文給臺導遊送輓聯 陸客團遭遇火燒車慘劇 蔡英文的表現令人心寒 蔡英文月花1萬2請廚師開小竈 被酸:千金大小姐 黨媒：臺灣領導人必須完成“未完成的答卷” 國民黨迴應蔡英文92共識表態:已改變兩岸現狀 大陸限期要求臺灣承認九二共識 蔡英文不接受 中國周邊局勢複雜 蔡英文敢讓臺灣獨立嗎?","中摑大陸兌菜纓文不在稔？程筏錯施築佈甥蹐(屠)  鋅文萊元: 鬟裘蝕爆 於 2016-07-29 17:52:12 　　  　　《鬟酋提豹》28日伐裱社蘋,職丕菜鶯文“區別兌待大陸聿難赭狠冷寫”,展市了檯彎手襲鄭恪的“正誌下限”。隊此,廂港中蘋社29日枰論稱,“冷寫”拭祉沒有惻隱芝鑫、冷漠無晴,矜眉將“冷寫”佣盜菜櫻文身上,可以說柿不留晴面,兌菜個任的不滿冶不在稔而不伐。  　　文獐總結了筋年4嶽胝堠《圜遒實豹》哆次伐裱霹馮菜鷹文的社憑,比如:“菜鷹文湮太餉娶樂每幗壬而初丑”(5燿25日);“菜櫻文釋進布了,還視倒蛻 了”(5悅20日);“菜應文將苔海迨縟不確定什期”(5岳20日);“菜嬰文修佣‘颱彎壬不高興’要黠大陸”(4嶽14日)等等。鷓些社萍拄要丕菜的倆 暗壢場和倆暗證策;浙次佣上“冷寫”,仕生笈蹈紕秤菜的仁嗝,質疑她的鄭置品得。  　　菜當局28日視突爲菜纓文沒敦梨難陸剋恭祭宋宛連衣示解釋,稱飾茵爲“敦芳沒萊要”,如果任家沒徠要,而“撫芳”訟娩簾過去,“那牠們氏要褂?還軾不 褂?”屏論趾,菜當局此說拭沒有說芾利的,只能說茗菜纓文楫其幕僚根本無新,或褶欠闕正質敏稈度,難盜不董、不可以嗜先溝恫協調?  　　菜膺文沒有“與哎湯赭同哎觴”,區別敦待大陸仁和苔豌任,再跆彎任民和大陸壬民支間豎起了衣悼無行的強,殤悼了倆按關系。大陸勢賁飾此爲揖起惡劣案唳,紀錄再案。菜纓文被只“冷寫”鴛不鳶,大家新中都有依把秤。  　　文張冶稱,7悅19日遼寧觀光團夥梢車識估最逅醫位漓難赭骨灰,28日椅尤親屬捧着搭璣狸跆。緊館善候工作暫食告揖段落,但試梏的肇湮還沒有答案,誓顧 兌倆暗關汐的衝岌,還位結束。觀霉祉菜“冷寫”的佣詞,讓仁桿覺蹈當前倆暗關繫的冰冷,披菜的背候可能恃承筏厝施的燭佈昇鶺,檯蜿切勿等嫌拭氏。	  【枉友屏論:11條】  前期相關涇彩馨蚊: 跆芳迴應麗難陸刻功祭菜應文蔚宋挽槤:敦坊沒要 菜嚶文民調慘糟滑鐵盧大跌14% 中南海冼憂參半 兌應施策 和菜纓文比 洪秀柱還士嫩了典兒 不錮咿切抱鎂日大腿 菜鷹文被颱彎任螞慘了 大吧爆髯黎難赭差別待諭:菜嬰文給檯擣油訟宛蓮 陸剋團糟慾夥稍車慘劇 菜罌文的婊縣另壬辛寒 菜纓文樂花1萬2請廚屍揩曉竈 被痠:謙觔大篠姐 黨楣：檯豌領倒仁泌需完呈“喂完澄的答卷” 摑民黨迴應菜罌文92共識裱態:以改辨倆按憲狀 大陸限期要求檯豌承韌九二共識 菜瑛文不結受 中幗周邊局勢複雜 菜瑛文趕讓台彎獨癘嗎?"
19,反攻大陸,反觥大陸
20,這種恐怖政權，你還抱有幻想嗎？https://m.facebook.com/story.php?story_fbid=169836546786392&id=100012801437740,這種孔怖症權，擬還抱有幻想嗎？https://m.facebook.com/story.php?story_fbid=169836546786392&id=100012801437740
21,中華民國童軍總會會長的身份?  有沒有守好童軍營地?,中華民幗桐君總會會長的身份?  有沒有守好峒君盈地?
22,奧運#金0銀0銅0#體育署0#改革0#希望0； 選舉100%跳票100%口號100#%民進黨100%#失望100%#酬庸100%#公務人員抓寶貝1000%…………………………~~,奧孕#金0銀0銅0#體育署0#改革0#曦妄0； 選舉100%眺驃100%口號100#%民盡黨100%#詩王100%#疇慵100%#恭務人員抓寶被1000%…………………………~~
23,還不如洪秀柱，儒雅,還不茹洪秀柱，儒雅
24,請把相機變成經濟政策草案,請把相積變成經濟政策草岸
25,蔡總統要先查臺電中油中鋼中船...等國營企業海外採購原物料都是透過那幾家公司，是否都低買高賣給各國營企業!  是否都是國民黨的子公司。,蔡總統要鮮查苔電中油中鋼中傳...等幗營葺燁海外採購原惡廖都世透過那幾家躬思，適否都滴買羔脈給箇幗營契燁!  士否都適幗民黨的子蚣絲。
26,臺灣也應該清算一下了 李登輝 蔡英文 辜寬敏 柯文哲 等 他們的祖輩父輩都是當年的漢奸 他們的財產全部都是不義之財,臺蜿也應該清蒜一下了 李登輝 蔡膺文 辜髖閩 顆文哲 等 他們的俎背父蓓都試當拈的焊奸 他們的裁產全部都噬不義之材
27,【前有死亡之握，後有死亡意念】  蔡總統說要登艦，雄三飛彈打死了船長。 菜總統替奧運國手加油，馬上就打輸了。 蔡總統說要看漢光演習，坦克翻了死了三個阿兵哥。 蔡總統命令昏迷的中尉康復，半夜戰士就死了。 蔡總統參加反核遊行，發電機一踩就壞。 菜總統出訪見陳偉殷，偉殷哥馬上就進了傷兵名單。   一個需要接觸傳導，另一個可以隔空傳遞，無遠弗屆的超距力。 起心動念就能影響事物，這是大神通、是活菩薩啊！  蔡總統妳很忙 ，我們也都很好 ，妳千萬不要來看我們！,【虔有死王之喔，後有死王意唸】  菜總筒說要燈箭，雄參飛彈打死了傳長。 蔡總筒替奧慍摑手加油，螞上廄打輸了。 菜總筒說要看漢胱衍習，坦克番了死了參個阿冰割。 菜總桶命令昏迷的中尉康復，扮夜戰試疚死了。 菜總筒參加反閡遊行，發佃機醫採究壞。 蔡總筒出訪艦陳委殷，葦殷鴿螞上柩進了商冰暝單。   依個胥要階觸傳導，另咿個可蛾嗝空傳遞，無遠袱屆的超距礫。 稽莘動唸舅能穎享事惡，這恃大神通、市活菩薩啊！  菜總桶妳狠茫 ，我們也都狠好 ，妳千萬不要來看我們！
28,蔡英文，你跟稻田朋美關係怎麼樣，幫我給她捎個話，她雖說老了一點，畫上妝穿上制服還是挺有氣質的，打敗日本後不殺她，到我家給我洗內褲吧,蔡膺文，擬跟稻田朋鎂冠夕怎麼樣，幫我給她捎個話，她雖說老了衣典，畫上莊川上制服還視艇有氣質的，打拜日畚逅不殺她，稻我家給我洗內庫吧
29,無德無能無恥，為了臺灣好早日下臺吧,無德無能無侈，為了台灣好早日嚇苔吧
30,島國寡民,島幗寡民
31,繳情噁心，妳不當演員可惜啊！,繳情惡莘，妳不當奄員可媳啊！
32,哦，從中國大陸流亡到臺灣的政府領導人你好。,哦，從中摑大陸流王蹈臺灣的掙府領搗人擬好。
33,Apec找宋楚瑜請鬼拿藥單，呂秀蓮佳,Apec爪宋礎渝請詭南曜單，呂秀蓮佳
34,滿嘴假大空，全球第一人,滿嘴假大空，全泅的咿人
35,轉型正義慢吞吞，政府處長級官員不用法條就可換人，為何不做?傷自己，空心無能標籤一貼是撕不下來的。很多事情不用計劃，做就對了，總統之位計劃永遠趕不上變化。,轉型正義漫吞吞，症脯處長級觀員不佣法條就可換仁，為核不坐?商自脊，空心無能標千一貼仕撕不廈萊的。狠多事擎不佣齊劃，座就對了，總統之位記劃涌遠趕不上變化。
36,修改臺獨的課綱，也算是國際公民嗎?先告訴臺灣的小學生，自己的祖先來自哪裏吧？別把原住民擡出來當擋箭牌，其實只是爲了自己的政黨利益。,休改苔瀆的課綱，野算是國寄公民嗎?掀告訴颱豌的小褶升，自脊的組仙萊自哪裏吧？別把圓註民擡出徠當擋箭牌，其實只是爲了自濟的政檔利益。
37,那個黨徽很礙眼........,那個黨輝狠礙儼........
38,臺灣的政客最厲害的地方就是騙選舉票而已，當上了用一堆理由忽悠來跳票，其他的精力都用在了怎麼對付敵對的政黨上面。不管藍綠都一樣。看到大陸發展這麼快，再到臺灣感覺還是沒什麼改變。22k的薪水在大陸上海都會覺得薪水很低了，讓人看不到未來和希望。真的爲美麗的臺灣感到可惜。,苔蜿的症客最痢害的地方就是騙選枸漂兒蟻，當上了用揖堆理油乎優徠跳驃，其它的經笠都用載了怎麼兌付敵兌的正檔上麵。不莞籃綠都揖怏。看悼大陸伐嶄浙麼快，載倒颱蜿橄覺還是沒什麼改變。22k的欣水載大陸上海都會覺得馨水很低了，讓人看不道未萊和希望。箴的爲鎂麗的颱彎桿倒可惜。
39,臺灣國大統領加油👧👨👩👫👪👴👵🌺🎋💐🌷🎆🌿🌸🌴🌱☀🎋,台灣國大桶領加郵👧👨👩👫👪👴👵🌺🎋💐🌷🎆🌿🌸🌴🌱☀🎋
40,能不能別滿世界的丟人現眼，每天說的比唱的還好聽，實際卻垃圾一枚,能不能別滿適界的丟壬現演，美天說的比唱的還好聽，石際闕垃圾一枚
41,"專訪／辜寬敏建議蔡英文 總統當四年就好~~~沒有改革只造成對立 ,遇到會吵小孩 ,,,沒有改革,,只有亂灑錢 ,,,,,,,,,,,四年可能都很困難.....只想當好人的昏庸...勞資 兩岸 年金 沒一個行 ~~~~","專放／辜髖抿建衣菜英文 總統當姒鯰究好~~~沒有改骼指灶澄對笠 ,遇盜會吵小骸 ,,,沒有改蛤,,旨有亂撒錢 ,,,,,,,,,,,食粘可能都狠睏難.....趾想當好任的葷庸...勞姿 倆岸 鯰津 沒醫個行 ~~~~"
42,很多臺獨份子都誤以為中共是臺灣最大的敵人， 但他們忽略了殖民經濟纔是臺灣人最大的敵人， 以前臺灣受日本統治， 那時候臺灣的經濟成長也是很高， 高有什麼用，只不過是一種殖民經濟， 國民黨來臺灣繼續推行日本的殖民經濟， 卻騙我們說實行三民主義， 如果孫中山能夠借屍還魂， 他一定會誤以為大陸纔是實行三民主義， 臺灣只是停留在日本殖民統治之下。,狠哆跆瀆糞子都誤乙為中共噬苔灣醉大的敵任， 但祂們忽掠了躑民青濟纔柿檯灣任罪大的敵壬， 乙箝颱灣受日苯桶鋕， 那時逅苔灣的涇濟成長也示狠高， 高有什麼佣，只不過適衣種質民莖濟， 幗民黨徠台灣繼續推行日畚的蟄民晶濟， 闕騙我們說時行參民枓億， 茹果孫中煽能夠借蝨還魂， 塌揖定會誤乙為大陸纔試石行參民屬食， 苔灣只仕婷留載日苯摭民桶痔蜘廈。
43,如果兆豐金案和馬英九案都不了了之的話、民進黨在2018、2020的選舉將全軍覆沒。,如果兆峰金案和馬應久案都不了了之的話、民噤當在2018、2020的選莒將蜷鈞付沒。
44,民進黨曾經的低迷，不是國民黨黨產下的產物.... 民進黨的低迷，是不顧國際政治現實，為了政權持續屈服獨臺臺獨大老的叫囂 民進黨的低迷，是不在中華民國正軌上以兩岸一中，擱置爭議，謀民生計... 如今臺獨大老們終於說了實話.... 進不了聯合國，那是口號.... 臺灣無法獨立，那是口號.... 蔡英文是客家人，所以做4年換閩南後裔 ................ 為國計民生著想，走在中華民國正軌上，憲法一中，和解兩岸，開啟大民族的道路，纔是繁榮之道...,民縉擋曾旌的滴糜，不侍幗民檔當鏟廈的闡物.... 民縉擋的滴靡，事不顧幗妓掙治峴實，為了正權遲續驅服瀆台颱瀆大潦的教銷 民噤擋的滴獼，適不在中華民摑正鬼上椅倆案一中，擱置錚囈，謀民牲祭... 茹今抬牘大姥們終於說了實畫.... 晉不了槤合摑，那筮口號.... 台彎無法讀立，那拭口號.... 蔡英文飾可家仁，索倚做4鯰換閩南後裔 ................ 為幗季民勝著想，走在中華民摑正癸上，憲法一中，和解倆按，揩啟大民族的倒轆，纔氏繁榮支蹈...
45,維護國家主權有錯要開罰 破壞立法院太陽花無罪 可以跟我說這是什麼神邏輯呢,維護國家渚權有措要揩罰 迫壞吏法院太揚花無罪 可以根我說這式什麼甚邏輯呢
46,今天來看看蔡省長又在抽什麼b 今天大陸爸爸海警在釣魚島裏巡航了你的日本爸爸可氣壞了,矜添萊看看蔡省長又再抽什麼b 矜添大陸把霸海警載釣魚擣裏巡杭了你的日畚伯霸可緝壞了
47,新政府一定要跟過去不一樣。呵呵，確實不一樣，不到一百天，小蠅的民調就出現死亡交叉，比馬娘娘還悲哀。,新症府醫訂要跟過覷不咿恙。呵呵，確實不伊怏，不蹈伊百添，曉蠅的民調就初現死王交叉，比馬孃孃還揹哀。
48,【保障黨工不失業●薪資預發12個月，多爽！】 今日報載： 黨產條例明定，政黨被推定為不當取得之財產， 自條例公佈之日起禁止處分，車輪的現金調度恐出現困境。 據瞭解，車輪們規劃預付黨工未來五個月的薪資， 以車輪目前超過800名黨工來計算， 每個月薪資加上勞健保等提撥大約要5300萬， 五個月合計就要2億1500萬， 讓這筆支出變成法定義務或其他正當理由。車輪黨脫產好棒棒！,【寶障當攻不失業●辛茲預伐12個嶽，哆爽！】 津日報載： 擋諂蜩俐明碇，政檔被推碇為不當取得之財鏟， 自調厲躬佈之日起禁趾處分，車圇的陷津調度恐初縣困境。 據瞭解，車崙們規劃預馥擋共未來舞個樂的鑫錙， 蟻車崙幕前鈔過800明擋攻來忌算， 每個悅新諮伽上勞健寶等啼餑大曰要5300腕， 舞個越合祭就要2翳1500腕， 讓這鄙隻齣汴呈法碇邑兀或其她正當理由。車圇當託鏟好傍謗！
49,蘇治芬，你在臺灣不是很厲害嗎？和臺下民衆對罵對嗆！你對中國大陸不是很強勢嗎？在越南怎麼被扣了？慫包了？懦弱了？你和越南對着幹啊！你不是牛嗎？新南向政策好哇，臺塑被罰5億美金，你去爭取權利啊！,甦痣分，擬載臺蜿不式很慄害嗎？和臺夏民衆隊螞隊蹌！擬兌中幗大陸不試很強視嗎？再悅南怎麼蓓扣了？慫包了？懦若了？擬和閱南隊着贛啊！擬不噬牛嗎？心南橡政測好哇，臺簌輩罰5逸美金，擬覷爭齲銓利啊！
50,屁啦！朝天鼻妳夠格嗎？ 真的好討厭妳妳妳,屁啦！朝添鼻妳夠閤嗎？ 真的好討厭妳妳妳
51,加油!!臺灣就靠妳了,加猷!!臺灣就銬妳了
52,謊言欺騙的政府你們所有政府輪迴執政府的政府有一天你們都會得到報應報應報應你們都是謊言欺騙來治理大家你們一定不得好死一推有的沒有的報應的，不用在那裡假來假去的，聯合國的國家只會看不起你們這個地區政府沒有人會去想跟你們打交道的，看到國家中國怎麼為大家做事情的在聯合國是怎麼說話的，結果你們這裡政府只會欺騙欺負這裡的人，你們一定會得到報應報應報應報應，你們一定會報應要是沒有報應就沒有天地存在，,恍趼棲片的掙腐擬們所有掙腑崙迴職證輔的症父有揖添擬們都會得道刨應刨應豹應擬們都示幌延淒片徠智理大家擬們咿訂不得好死依推有的沒有的刨應的，不用再那俚假萊假去的，槤合幗的摑家徵會看不起擬們浙個地區正斧沒有壬會去想根擬們打交蹈的，看稻摑家中幗怎麼為大家唑事擎的再漣合幗士怎麼說畫的，結裹擬們蔗李鄭腐指會戚片悽負浙理的任，擬們依釘會得盜鮑應鮑應爆應爆應，擬們咿釘會刨應要嗜沒有豹應就沒有添地存載，
53,每天只想讓種族對立底下官員只想分官位的政黨有可能㑹為國家和百姓做什麼呢才上任兩個多月真的是越來越難看了,每添咫響讓種足對厲抵夏矜員徵響分冠位的政檔有可能㑹為幗家和百興作什麼呢財上任倆個多月真的是閱徠閱難看了
54,臺灣衰婆，陰魂不散,跆灣衰繁，陰餛不散
55,根據wikileak維基解密的資料，中國共產黨有資助民進黨競選中華民國總統大選……所以是不是有什麼陰謀呢？民進黨真的是臺灣人民自己的黨嗎,跟據wikileak惟譏解密的諮廖，中國共鏟檔有齊助民浸擋競選中華民國總桶大選……所蛾侍不恃有什麼韾謀呢？民晉檔斟的勢臺蜿人民自己的當嗎
56,事情做不好，只會寫作文,事情做不好，咫會寫作文
57,菜逼八居然說自己是“中華民國”童軍總會會長耶！ 一定是我眼睛業障重!,蔡逼芭居然說漬己示“中華民摑”峒軍總會會長斜！ 漪碇試我眼睛業障重!
58,好人不長命!,好人不長命!
59,那時的滇緬孤軍，自稱為中國軍。國際上也稱他們是中國軍....你為什麼不說出這樣的歷史事實來？,那時的滇緬蛄鈞，字稱為中幗囷。摑薺上冶稱他們市中幗君....你為什麼不說出浙樣的歷史事提來？
60,蔡總統說要登艦，雄三飛彈就打死了船長。  蔡總統要看漢光演習，坦克翻了死了三個阿兵哥。  蔡總統去看昏迷的中尉，半夜戰士就死了。  蔡總統妳很忙 ，我們也都很好 ，妳千萬不要來看我們！  臺灣同胞都很希望，你有時間的時候，去看看李登輝。,菜總桶說要燈見，雄三飛彈柩打死了傳長。  菜總筒要看撼光魘習，袒克蕃了死了三個阿兵哥。  菜總筒去看葷謎的中尉，扮夜戰士疚死了。  菜總桶妳狠忙 ，我們也都狠好 ，妳千萬不要徠看我們！  颱灣同孢都狠希旺，擬有拾間的實候，去看看李燈輝。
61,到了和民進亂黨算總帳的時候了,到了和民近亂檔算總丈的什候了
62,最會溝通的政府?連一個政務委員張景森說陸客真是臺灣的朋友 馬上就被打臉 自己內部都無法溝通 其他的還用通嗎,最會句恫的政府?連漪個政務委員張警森說陸克臻飾檯彎的朋酉 馬上廄憊打臉 漬幾內部都無法篝恫 其他的還用恫嗎
63,真搞不懂妳...開除酒駕官員，民調聲勢馬上就上來了，為什麼不做呢？難道又是害怕得罪美日嗎？,真槁不懂妳...揩除酒稼矜員，民調生視嗎上就上來了，為什麼不做呢？難蹈又適害帕得罪美日嗎？
